Brand,Price,Transmission,FuelType,Mileage,release_year
iX xDrive50 M Sport,"69,500",Automatic,ELECTRIC,,2023
iX1 xDrive30 M Sport,"34,000",Automatic,ELECTRIC,"8,000 miles",2023
iX1 xDrive30 M Sport,"33,785",Automatic,ELECTRIC,"10,446 miles",2023
i5 eDrive40 M Sport Saloon,"39,886",Automatic,ELECTRIC,"9,512 miles",2023
i7 xDrive60 M Sport,"81,547",Automatic,ELECTRIC,"3,944 miles",2023
iX3 M Sport Pro,"38,000",Automatic,ELECTRIC,,2022
i5 M60 Saloon,"58,250",Automatic,ELECTRIC,"20,886 miles",2023
i7 xDrive60 M Sport,"77,392",Automatic,ELECTRIC,"1,802 miles",2023
i7 xDrive60 M Sport,"100,000",Automatic,ELECTRIC,"6,593 miles",2024
i7 xDrive60 M Sport,"69,900",Automatic,ELECTRIC,"7,240 miles",2023
i7 eDrive50 M Sport,"64,255",Automatic,ELECTRIC,"3,079 miles",2023
i7 eDrive50 M Sport,"74,850",Automatic,ELECTRIC,"3,715 miles",2024
i5 eDrive40 M Sport Pro Saloon,"50,000",Automatic,ELECTRIC,,2023
i7 xDrive60 Excellence,"64,000",Automatic,ELECTRIC,"9,758 miles",2022
i5 eDrive40 M Sport Pro Saloon,"71,000",Automatic,ELECTRIC,"5,494 miles",2024
i7 xDrive60 M Sport,"73,989",Automatic,ELECTRIC,"5,235 miles",2023
iX xDrive50 M Sport,"59,888",Automatic,ELECTRIC,"5,209 miles",2024
i4 M50,"49,000",Automatic,ELECTRIC,"14,064 miles",2023
iX1 eDrive20 Sport,"30,000",Automatic,ELECTRIC,"10,466 miles",2024
iX1 xDrive30 M Sport,"32,490",Automatic,ELECTRIC,"6,199 miles",2023
i5 eDrive40 M Sport Saloon,"43,880",Automatic,ELECTRIC,"3,766 miles",2023
iX1 eDrive20 M Sport,"32,988",Automatic,ELECTRIC,"6,941 miles",2024
i5 M60 Saloon,"82,000",Automatic,ELECTRIC,"2,119 miles",2024
i5 M60 Saloon,"74,259",Automatic,ELECTRIC,"6,500 miles",2024
iX1 xDrive30 M Sport,"35,000",Automatic,ELECTRIC,"11,515 miles",2024
iX1 xDrive30 xLine,"31,450",Automatic,ELECTRIC,"1,930 miles",2023
iX xDrive50 M Sport,"69,999",Automatic,ELECTRIC,"6,258 miles",2023
i5 eDrive40 M Sport Pro Saloon,"41,500",Automatic,ELECTRIC,,2024
i5 eDrive40 M Sport Saloon,"39,900",Automatic,ELECTRIC,"8,140 miles",2024
i5 eDrive40 M Sport Pro Saloon,"45,695",Automatic,ELECTRIC,"8,961 miles",2023
i5 M60 Saloon,"63,495",Automatic,ELECTRIC,"15,000 miles",2023
i4 eDrive40 M Sport,"41,990",Automatic,ELECTRIC,"14,154 miles",2023
i5 eDrive40 M Sport Pro Saloon,"43,995",Automatic,ELECTRIC,"10,659 miles",2023
iX1 xDrive30 M Sport,"31,000",Automatic,ELECTRIC,"21,423 miles",2023
i5 eDrive40 M Sport Pro Saloon,"45,500",Automatic,ELECTRIC,"10,485 miles",2023
iX2 xDrive30 M Sport,"42,000",Automatic,ELECTRIC,"8,010 miles",2024
i4 M50,"50,000",Automatic,ELECTRIC,,2024
iX xDrive50 M Sport,"65,500",Automatic,ELECTRIC,"24,889 miles",2024
iX2 xDrive30 M Sport,"35,045",Automatic,ELECTRIC,"18,733 miles",2024
i7 xDrive60 M Sport Pro,"90,000",Automatic,ELECTRIC,"18,058 miles",2024
iX1 eDrive20 M Sport,"37,000",Automatic,ELECTRIC,"11,252 miles",2024
iX1 xDrive30 xLine,"31,000",Automatic,ELECTRIC,"14,000 miles",2023
i7 xDrive60 M Sport,"87,000",Automatic,ELECTRIC,"9,584 miles",2024
i5 eDrive40 M Sport Pro Saloon,"52,000",Automatic,ELECTRIC,,2023
iX xDrive50 M Sport,"55,000",Automatic,ELECTRIC,"22,247 miles",2023
i7 xDrive60 Excellence Pro,"74,000",Automatic,ELECTRIC,"6,392 miles",2023
iX xDrive50 M Sport,"75,000",Automatic,ELECTRIC,"11,678 miles",2024
iX1 eDrive20 M Sport,"35,990",Automatic,ELECTRIC,"6,650 miles",2023
i5 M60 Saloon,"59,500",Automatic,ELECTRIC,"9,664 miles",2024
iX2 xDrive30 M Sport,"45,000",Automatic,ELECTRIC,"13,197 miles",2024
i5 eDrive40 M Sport Pro Saloon,"41,444",Automatic,ELECTRIC,"17,652 miles",2023
iX2 xDrive30 M Sport,"39,500",Automatic,ELECTRIC,"18,148 miles",2024
i5 eDrive40 M Sport Pro Saloon,"48,000",Automatic,ELECTRIC,"18,260 miles",2023
i5 eDrive40 M Sport Pro Saloon,"43,000",Automatic,ELECTRIC,"14,746 miles",2023
iX1 xDrive30 M Sport,"33,785",Automatic,ELECTRIC,"3,162 miles",2023
i5 M60 Saloon,"72,000",Automatic,ELECTRIC,"7,057 miles",2024
iX1 xDrive30 M Sport,"33,985",Automatic,ELECTRIC,"3,894 miles",2023
iX1 xDrive30 M Sport,"35,000",Automatic,ELECTRIC,"3,500 miles",2023
iX1 xDrive30 M Sport,"33,785",Automatic,ELECTRIC,"5,557 miles",2023
iX xDrive50 M Sport,"67,500",Automatic,ELECTRIC,"10,844 miles",2024
iX xDrive50 M Sport,"64,990",Automatic,ELECTRIC,"8,000 miles",2024
i5 eDrive40 M Sport Saloon,"48,000",Automatic,ELECTRIC,"5,000 miles",2024
i5 eDrive40 M Sport Saloon,"44,000",Automatic,ELECTRIC,"10,999 miles",2023
iX1 xDrive30 M Sport,"33,785",Automatic,ELECTRIC,"4,904 miles",2023
i5 eDrive40 M Sport Pro Saloon,"47,000",Automatic,ELECTRIC,"8,000 miles",2023
iX xDrive40 M Sport,"48,990",Automatic,ELECTRIC,"1,655 miles",2023
iX1 eDrive20 M Sport,"32,990",Automatic,ELECTRIC,,2023
iX2 xDrive30 M Sport,"45,990",Automatic,ELECTRIC,,2024
i4 eDrive40 M Sport,"36,500",Automatic,ELECTRIC,"6,442 miles",2023
i5 eDrive40 M Sport Saloon,"45,890",Automatic,ELECTRIC,"3,283 miles",2023
i5 eDrive40 M Sport Pro Saloon,"44,000",Automatic,ELECTRIC,"19,050 miles",2023
i5 M60 Saloon,"57,900",Automatic,ELECTRIC,"9,556 miles",2023
iX2 xDrive30 M Sport,"39,000",Automatic,ELECTRIC,,2024
iX2 xDrive30 M Sport,"46,299",Automatic,ELECTRIC,"2,818 miles",2024
i5 M60 Saloon,"58,999",Automatic,ELECTRIC,"15,095 miles",2024
iX2 xDrive30 M Sport,"40,000",Automatic,ELECTRIC,"10,635 miles",2024
i4 eDrive35 Sport,"33,750",Automatic,ELECTRIC,"12,775 miles",2024
i5 M60 Saloon,"54,000",Automatic,ELECTRIC,"21,617 miles",2023
iX xDrive50 M Sport,"58,000",Automatic,ELECTRIC,"11,138 miles",2024
iX1 xDrive30 M Sport,"32,990",Automatic,ELECTRIC,"8,745 miles",2023
i5 eDrive40 M Sport Pro Saloon,"48,890",Automatic,ELECTRIC,"5,801 miles",2023
iX2 xDrive30 M Sport,"52,500",Automatic,ELECTRIC,"1,865 miles",2024
iX2 xDrive30 M Sport,"42,500",Automatic,ELECTRIC,"13,721 miles",2024
i5 eDrive40 M Sport Saloon,"52,699",Automatic,ELECTRIC,,2024
iX1 eDrive20 M Sport,"35,000",Automatic,ELECTRIC,,2024
iX3 M Sport Pro,"48,000",Automatic,ELECTRIC,,2024
i5 eDrive40 M Sport Saloon,"48,990",Automatic,ELECTRIC,"3,022 miles",2024
