"Brand","Model","Price_in_Pounds","Transmission","Fuel_Type","Mileage_in_Miles","Release_Year"
"BMW","iX xDrive50 M Sport",69500,"Automatic","electric",10991,2023
"BMW","iX1 xDrive30 M Sport",34000,"Automatic","electric",8000,2023
"BMW","iX1 xDrive30 M Sport",33785,"Automatic","electric",10446,2023
"BMW","i5 eDrive40 M Sport Saloon",39886,"Automatic","electric",9512,2023
"BMW","i7 xDrive60 M Sport",81547,"Automatic","electric",3944,2023
"BMW","iX3 M Sport Pro",38000,"Automatic","electric",8421,2022
"BMW","i5 M60 Saloon",58250,"Automatic","electric",20886,2023
"BMW","i7 xDrive60 M Sport",77392,"Automatic","electric",1802,2023
"BMW","i7 xDrive60 M Sport",100000,"Automatic","electric",6593,2024
"BMW","i7 xDrive60 M Sport",69900,"Automatic","electric",7240,2023
"BMW","i7 eDrive50 M Sport",64255,"Automatic","electric",3079,2023
"BMW","i7 eDrive50 M Sport",74850,"Automatic","electric",3715,2024
"BMW","i5 eDrive40 M Sport Pro Saloon",50000,"Automatic","electric",8480,2023
"BMW","i7 xDrive60 Excellence",64000,"Automatic","electric",9758,2022
"BMW","i5 eDrive40 M Sport Pro Saloon",71000,"Automatic","electric",5494,2024
"BMW","i7 xDrive60 M Sport",73989,"Automatic","electric",5235,2023
"BMW","iX xDrive50 M Sport",59888,"Automatic","electric",5209,2024
"BMW","i4 M50",49000,"Automatic","electric",14064,2023
"BMW","iX1 eDrive20 Sport",30000,"Automatic","electric",10466,2024
"BMW","iX1 xDrive30 M Sport",32490,"Automatic","electric",6199,2023
"BMW","i5 eDrive40 M Sport Saloon",43880,"Automatic","electric",3766,2023
"BMW","iX1 eDrive20 M Sport",32988,"Automatic","electric",6941,2024
"BMW","i5 M60 Saloon",82000,"Automatic","electric",2119,2024
"BMW","i5 M60 Saloon",74259,"Automatic","electric",6500,2024
"BMW","iX1 xDrive30 M Sport",35000,"Automatic","electric",11515,2024
"BMW","iX1 xDrive30 xLine",31450,"Automatic","electric",1930,2023
"BMW","iX xDrive50 M Sport",69999,"Automatic","electric",6258,2023
"BMW","i5 eDrive40 M Sport Pro Saloon",41500,"Automatic","electric",8480,2024
"BMW","i5 eDrive40 M Sport Saloon",39900,"Automatic","electric",8140,2024
"BMW","i5 eDrive40 M Sport Pro Saloon",45695,"Automatic","electric",8961,2023
"BMW","i5 M60 Saloon",63495,"Automatic","electric",15000,2023
"BMW","i4 eDrive40 M Sport",41990,"Automatic","electric",14154,2023
"BMW","i5 eDrive40 M Sport Pro Saloon",43995,"Automatic","electric",10659,2023
"BMW","iX1 xDrive30 M Sport",31000,"Automatic","electric",21423,2023
"BMW","i5 eDrive40 M Sport Pro Saloon",45500,"Automatic","electric",10485,2023
"BMW","iX2 xDrive30 M Sport",42000,"Automatic","electric",8010,2024
"BMW","i4 M50",50000,"Automatic","electric",8626,2024
"BMW","iX xDrive50 M Sport",65500,"Automatic","electric",24889,2024
"BMW","iX2 xDrive30 M Sport",35045,"Automatic","electric",18733,2024
"BMW","i7 xDrive60 M Sport Pro",90000,"Automatic","electric",18058,2024
"BMW","iX1 eDrive20 M Sport",37000,"Automatic","electric",11252,2024
"BMW","iX1 xDrive30 xLine",31000,"Automatic","electric",14000,2023
"BMW","i7 xDrive60 M Sport",87000,"Automatic","electric",9584,2024
"BMW","i5 eDrive40 M Sport Pro Saloon",52000,"Automatic","electric",8480,2023
"BMW","iX xDrive50 M Sport",55000,"Automatic","electric",22247,2023
"BMW","i7 xDrive60 Excellence Pro",74000,"Automatic","electric",6392,2023
"BMW","iX xDrive50 M Sport",75000,"Automatic","electric",11678,2024
"BMW","iX1 eDrive20 M Sport",35990,"Automatic","electric",6650,2023
"BMW","i5 M60 Saloon",59500,"Automatic","electric",9664,2024
"BMW","iX2 xDrive30 M Sport",45000,"Automatic","electric",13197,2024
"BMW","i5 eDrive40 M Sport Pro Saloon",41444,"Automatic","electric",17652,2023
