Brand,Price,Transmission,fuel_Type,mileage,release_year
FORDFOCUSST-Line,"£10,295                            ",Manual,Petrol,"22,053 Miles",2024
FORDFOCUSTitanium,"£10,295                            ",Manual,Petrol,"51,792 Miles",2024
FORDFOCUSTitanium,"£10,320                            ",Manual,Petrol,"6,128 Miles",2024
FORDFOCUSST-Line,"£10,345                            ",Automatic,Petrol,"46,124 Miles",2024
FORDFOCUSST-Line,"£10,378                            ",Manual,Petrol,"40,159 Miles",2024
FORDPUMAST-Line X,"£10,390                            ",Manual,Petrol,"6,567 Miles",2024
FORDFOCUSActive X,"£10,395                            ",Manual,Petrol,"28,977 Miles",2024
FORDFOCUSTitanium X Edition,"£10,395                            ",Manual,Petrol,"20,277 Miles",2024
FORDFOCUSTitanium X Edition,"£10,401                            ",Manual,Petrol,"19,582 Miles",2024
FORDFOCUSTitanium X Edition,"£10,407                            ",Manual,Petrol,"32,167 Miles",2024
FORDPUMAST-Line X,"£10,412                            ",Manual,Petrol,"23,992 Miles",2024
FORDFOCUSActive X,"£10,417                            ",Manual,Petrol,"29,480 Miles",2024
FORDFOCUSST-Line,"£10,295                            ",Manual,Petrol,"22,053 Miles",2024
FORDFOCUSTitanium,"£10,295                            ",Manual,Petrol,"51,792 Miles",2024
FORDFOCUSTitanium,"£10,320                            ",Manual,Petrol,"6,128 Miles",2024
FORDFOCUSST-Line,"£10,345                            ",Automatic,Petrol,"46,124 Miles",2024
FORDFOCUSST-Line,"£10,378                            ",Manual,Petrol,"40,159 Miles",2024
FORDPUMAST-Line X,"£10,390                            ",Manual,Petrol,"6,567 Miles",2024
FORDFOCUSActive X,"£10,395                            ",Manual,Petrol,"28,977 Miles",2024
FORDFOCUSTitanium X Edition,"£10,395                            ",Manual,Petrol,"20,277 Miles",2024
FORDFOCUSTitanium X Edition,"£10,401                            ",Manual,Petrol,"19,582 Miles",2024
FORDFOCUSTitanium X Edition,"£10,407                            ",Manual,Petrol,"32,167 Miles",2024
FORDPUMAST-Line X,"£10,412                            ",Manual,Petrol,"23,992 Miles",2024
FORDFOCUSActive X,"£10,417                            ",Manual,Petrol,"29,480 Miles",2024
FORDFOCUSST-Line,"£10,295                            ",Manual,Petrol,"22,053 Miles",2024
FORDFOCUSTitanium,"£10,295                            ",Manual,Petrol,"51,792 Miles",2024
FORDFOCUSTitanium,"£10,320                            ",Manual,Petrol,"6,128 Miles",2024
FORDFOCUSST-Line,"£10,345                            ",Automatic,Petrol,"46,124 Miles",2024
FORDFOCUSST-Line,"£10,378                            ",Manual,Petrol,"40,159 Miles",2024
FORDPUMAST-Line X,"£10,390                            ",Manual,Petrol,"6,567 Miles",2024
FORDFOCUSActive X,"£10,395                            ",Manual,Petrol,"28,977 Miles",2024
FORDFOCUSTitanium X Edition,"£10,395                            ",Manual,Petrol,"20,277 Miles",2024
FORDFOCUSTitanium X Edition,"£10,401                            ",Manual,Petrol,"19,582 Miles",2024
FORDFOCUSTitanium X Edition,"£10,407                            ",Manual,Petrol,"32,167 Miles",2024
FORDPUMAST-Line X,"£10,412                            ",Manual,Petrol,"23,992 Miles",2024
FORDFOCUSActive X,"£10,417                            ",Manual,Petrol,"29,480 Miles",2024
FORDFOCUSST-Line,"£10,295                            ",Manual,Petrol,"22,053 Miles",2024
FORDFOCUSTitanium,"£10,295                            ",Manual,Petrol,"51,792 Miles",2024
FORDFOCUSTitanium,"£10,320                            ",Manual,Petrol,"6,128 Miles",2024
FORDFOCUSST-Line,"£10,345                            ",Automatic,Petrol,"46,124 Miles",2024
FORDFOCUSST-Line,"£10,378                            ",Manual,Petrol,"40,159 Miles",2024
FORDPUMAST-Line X,"£10,390                            ",Manual,Petrol,"6,567 Miles",2024
FORDFOCUSActive X,"£10,395                            ",Manual,Petrol,"28,977 Miles",2024
FORDFOCUSTitanium X Edition,"£10,395                            ",Manual,Petrol,"20,277 Miles",2024
FORDFOCUSTitanium X Edition,"£10,401                            ",Manual,Petrol,"19,582 Miles",2024
