Car_Brand,Price,Transmission,Fuel_Type,Mileage,release_year
Toyota Yaris TR Hatchback,"£5,495                            ",Manual,Petrol,"73,800 Miles",2012
Toyota AYGO Fire Hatchback,"£5,720                            ",Manual,Petrol,"28,377 Miles",2012
Toyota AYGO x-cite Hatchback,"£5,755                            ",Manual,Petrol,"65,805 Miles",2014
Toyota AYGO x-press Hatchback,"£5,906                            ",Manual,Petrol,"87,000 Miles",2018
Toyota Auris Icon Hatchback,"£5,985                            ",Manual,Petrol,"94,003 Miles",2014
Toyota AYGO x-play Hatchback,"£6,195                            ",Manual,Petrol,"44,073 Miles",2015
Toyota AYGO x-play Hatchback,"£6,220                            ",Manual,Petrol,"57,841 Miles",2017
Toyota AYGO x-play Hatchback,"£6,295                            ",Manual,Petrol,"39,653 Miles",2015
Toyota AYGO x-clusiv 2 Hatchback,"£6,351                            ",Manual,Petrol,"71,268 Miles",2016
Toyota AYGO x-play Hatchback,"£6,390                            ",Manual,Petrol,"41,406 Miles",2017
Toyota Yaris Icon Hatchback,"£6,485                            ",Manual,Petrol,"102,194 Miles",2016
Toyota Yaris TR Hatchback,"£6,490                            ",Manual,Petrol,"33,565 Miles",2013
Toyota AYGO x-play Hatchback,"£6,695                            ",Manual,Petrol,"50,226 Miles",2018
Toyota Yaris Icon Hatchback,"£6,795                            ",Manual,Petrol,"60,676 Miles",2015
Toyota AYGO x-cite Hatchback,"£6,890                            ",Manual,Petrol,"46,269 Miles",2015
Toyota Yaris Active Hatchback,"£6,895                            ",Manual,Petrol,"20,948 Miles",2014
Toyota AYGO x-play Hatchback,"£6,946                            ",Manual,Petrol,"37,514 Miles",2016
Toyota AYGO x-clusiv3 Hatchback,"£6,995                            ",Manual,Petrol,"71,753 Miles",2018
Toyota Yaris Icon Hatchback,"£6,995                            ",Manual,Diesel,"114,232 Miles",2017
Toyota AYGO x-press Hatchback,"£6,995                            ",Manual,Petrol,"58,900 Miles",2018
Toyota Yaris Icon Hatchback,"£6,999                            ",Manual,Petrol,"72,200 Miles",2016
Toyota AYGO x-press Hatchback,"£7,113                            ",Manual,Petrol,"48,006 Miles",2017
Toyota Yaris Icon Hatchback,"£7,135                            ",Manual,Petrol,"87,309 Miles",2016
Toyota AYGO x-cite Hatchback,"£7,290                            ",Manual,Petrol,"27,480 Miles",2014
Toyota AYGO x-play Hatchback,"£7,299                            ",Manual,Petrol,"53,100 Miles",2019
Toyota Yaris Icon Hatchback,"£7,299                            ",Manual,Petrol,"55,663 Miles",2015
Toyota Yaris Icon Hatchback,"£7,485                            ",Manual,Petrol,"66,066 Miles",2015
Toyota AYGO x-play Hatchback,"£7,485                            ",Manual,Petrol,"37,601 Miles",2018
Toyota AYGO x-pression Hatchback,"£7,495                            ",Manual,Petrol,"33,248 Miles",2016
Toyota AYGO x-style Hatchback,"£7,495                            ",Manual,Petrol,"34,410 Miles",2017
Toyota AYGO Fire Hatchback,"£7,498                            ",Automatic,Petrol,"35,100 Miles",2013
Toyota AYGO x-pression Hatchback,"£7,500                            ",Manual,Petrol,"25,000 Miles",2015
Toyota AYGO x-press Hatchback,"£7,500                            ",Manual,Petrol,"46,652 Miles",2018
Toyota AYGO x-press Hatchback,"£7,500                            ",Manual,Petrol,"43,446 Miles",2017
Toyota AYGO x-style Hatchback,"£7,500                            ",Manual,Petrol,"41,705 Miles",2018
Toyota AYGO x-play Hatchback,"£7,699                            ",Manual,Petrol,"33,584 Miles",2018
Toyota Yaris Icon Hatchback,"£7,703                            ",Manual,Petrol,"50,412 Miles",2016
Toyota Yaris Sport Hatchback,"£7,747                            ",Manual,Petrol,"58,781 Miles",2016
Toyota AYGO x-cite 3 Hatchback,"£7,750                            ",Manual,Petrol,"39,257 Miles",2016
Toyota Yaris Icon Hatchback,"£7,795                            ",Manual,Petrol,"41,235 Miles",2015
Toyota Yaris Design Hatchback,"£7,946                            ",Manual,Petrol,"85,895 Miles",2017
Toyota Yaris Icon Hatchback,"£7,950                            ",Manual,Petrol,"48,000 Miles",2015
Toyota Yaris Icon Plus Hatchback,"£7,961                            ",Automatic,Petrol,"73,000 Miles",2014
Toyota Auris Excel Estate,"£7,985                            ",Manual,Petrol,"87,762 Miles",2015
Toyota AYGO x-play Hatchback,"£7,985                            ",Manual,Petrol,"32,780 Miles",2019
Toyota AYGO x-play Hatchback,"£7,985                            ",Manual,Petrol,"34,490 Miles",2019
Toyota AYGO x-cite 4 Hatchback,"£7,990                            ",Manual,Petrol,"31,536 Miles",2018
Toyota AYGO x-clusiv3 Hatchback,"£7,995                            ",Manual,Petrol,"52,232 Miles",2017
Toyota AYGO x-plore Hatchback,"£7,999                            ",Manual,Petrol,"44,423 Miles",2019
Toyota AYGO x-play Hatchback,"£8,000                            ",Manual,Petrol,"53,382 Miles",2020
Toyota AYGO x Hatchback,"£8,000                            ",Manual,Petrol,"35,203 Miles",2020
Toyota AYGO x-play Hatchback,"£8,000                            ",Manual,Petrol,"37,265 Miles",2019
Toyota Auris Icon Hatchback,"£8,000                            ",Manual,Petrol,"15,951 Miles",2013
Toyota Yaris Icon Hatchback,"£8,000                            ",Manual,Diesel,"82,386 Miles",2016
Toyota Yaris Icon Tech Hatchback,"£8,103                            ",Manual,Petrol,"82,119 Miles",2017
Toyota AYGO x-play Hatchback,"£8,135                            ",Manual,Petrol,"37,000 Miles",2019
Toyota AYGO x-press Hatchback,"£8,190                            ",Manual,Petrol,"28,309 Miles",2017
Toyota Prius T Spirit Hatchback,"£8,200                            ",Automatic,Petrol,"65,554 Miles",2010
Toyota AYGO x-trend Hatchback,"£8,200                            ",Manual,Petrol,"43,842 Miles",2019
Toyota AYGO x-cite Hatchback,"£8,229                            ",Manual,Petrol,"23,515 Miles",2015
Toyota AYGO x-play Hatchback,"£8,245                            ",Manual,Petrol,"34,500 Miles",2019
Toyota AYGO x-style Hatchback,"£8,250                            ",Manual,Petrol,"27,049 Miles",2018
Toyota AYGO x-play Hatchback,"£8,252                            ",Manual,Petrol,"32,386 Miles",2019
Toyota AYGO x-claim Hatchback,"£8,295                            ",Manual,Petrol,"40,627 Miles",2018
Toyota AYGO x-style Hatchback,"£8,298                            ",Manual,Petrol,"30,409 Miles",2017
Toyota AYGO x Hatchback,"£8,395                            ",Manual,Petrol,"19,711 Miles",2020
Toyota AYGO x-trend Hatchback,"£8,395                            ",Manual,Petrol,"52,068 Miles",2019
Toyota AYGO x-pression Hatchback,"£8,395                            ",Manual,Petrol,"26,877 Miles",2016
Toyota AYGO x-plore Hatchback,"£8,398                            ",Manual,Petrol,"34,899 Miles",2018
Toyota AYGO x-cite Hatchback,"£8,398                            ",Manual,Petrol,"29,523 Miles",2016
Toyota AYGO x-plore Hatchback,"£8,417                            ",Manual,Petrol,"31,079 Miles",2018
Toyota AYGO x-plore Hatchback,"£8,450                            ",Manual,Petrol,"41,251 Miles",2018
Toyota Auris Icon Estate,"£8,485                            ",Automatic,Petrol,"54,856 Miles",2014
Toyota Yaris Icon Hatchback,"£8,485                            ",Automatic,Petrol,"60,924 Miles",2014
Toyota AYGO x-clusiv Hatchback,"£8,495                            ",Manual,Petrol,"55,805 Miles",2018
Toyota AYGO x-plore Hatchback,"£8,499                            ",Manual,Petrol,"28,165 Miles",2018
Toyota Yaris Icon Hatchback,"£8,537                            ",Manual,Petrol,"61,573 Miles",2017
Toyota Yaris Icon Hatchback,"£8,590                            ",Manual,Petrol,"52,601 Miles",2017
Toyota AYGO x-press Hatchback,"£8,595                            ",Manual,Petrol,"37,004 Miles",2018
Toyota Yaris Icon Hatchback,"£8,599                            ",Manual,Petrol,"24,767 Miles",2015
Toyota AYGO x-plore Hatchback,"£8,605                            ",Manual,Petrol,"23,111 Miles",2018
Toyota AYGO x-press Hatchback,"£8,690                            ",Manual,Petrol,"22,412 Miles",2018
Toyota AYGO x-play Hatchback,"£8,698                            ",Manual,Petrol,"23,159 Miles",2020
Toyota AYGO x-plore Hatchback,"£8,791                            ",Manual,Petrol,"24,909 Miles",2019
Toyota Yaris TR Hatchback,"£8,795                            ",Automatic,Petrol,"31,657 Miles",2012
Toyota AYGO x-play Hatchback,"£8,795                            ",Manual,Petrol,"42,692 Miles",2021
Toyota Yaris Icon Hatchback,"£8,795                            ",Manual,Petrol,"33,787 Miles",2015
Toyota AYGO x-trend Hatchback,"£8,825                            ",Manual,Petrol,"41,895 Miles",2020
Toyota AYGO x-press Hatchback,"£8,826                            ",Manual,Petrol,"22,000 Miles",2018
Toyota AYGO x-play Hatchback,"£8,850                            ",Manual,Petrol,"29,797 Miles",2020
Toyota Yaris Icon Tech Hatchback,"£8,873                            ",Manual,Petrol,"69,896 Miles",2018
Toyota AYGO x-play Hatchback,"£8,878                            ",Manual,Petrol,"24,049 Miles",2020
Toyota Yaris Icon Hatchback,"£8,879                            ",Manual,Petrol,"60,457 Miles",2019
Toyota Yaris Design Hatchback,"£8,895                            ",Manual,Petrol,"39,892 Miles",2017
Toyota Yaris Design Hatchback,"£8,925                            ",Manual,Petrol,"76,596 Miles",2018
Toyota Yaris T4 Hatchback,"£8,942                            ",Automatic,Petrol,"47,286 Miles",2013
Toyota AYGO x-trend Hatchback,"£8,984                            ",Manual,Petrol,"30,206 Miles",2019
Toyota Yaris Icon Tech Hatchback,"£8,985                            ",Manual,Petrol,"63,056 Miles",2017
Toyota AYGO x-style Hatchback,"£8,985                            ",Manual,Petrol,"31,090 Miles",2018
Toyota Yaris Icon Hatchback,"£8,990                            ",Manual,Petrol,"57,098 Miles",2018
Toyota AYGO x-trend Hatchback,"£8,990                            ",Manual,Petrol,"33,727 Miles",2019
Toyota AYGO x-play Hatchback,"£8,995                            ",Manual,Petrol,"32,211 Miles",2021
Toyota AYGO x-play Hatchback,"£8,995                            ",Manual,Petrol,"31,508 Miles",2021
Toyota RAV4 Icon SUV,"£8,995                            ",Automatic,Diesel,"86,762 Miles",2014
Toyota Yaris Excel Hatchback,"£8,995                            ",Automatic,Petrol,"67,651 Miles",2015
Toyota Yaris T4 Hatchback,"£8,995                            ",Automatic,Petrol,"55,581 Miles",2013
Toyota Yaris T Spirit Hatchback,"£8,995                            ",Automatic,Petrol,"42,765 Miles",2013
Toyota AYGO x-press Hatchback,"£8,995                            ",Manual,Petrol,"23,921 Miles",2017
Toyota Yaris Excel Hatchback,"£8,995                            ",Automatic,Petrol,"92,000 Miles",2017
Toyota AYGO x-trend Hatchback,"£8,995                            ",Manual,Petrol,"28,450 Miles",2019
Toyota AYGO x-cite Hatchback,"£8,999                            ",Manual,Petrol,"61,635 Miles",2019
Toyota AYGO x-trend Hatchback,"£9,090                            ",Manual,Petrol,"38,416 Miles",2019
Toyota AYGO x-press Hatchback,"£9,100                            ",Manual,Petrol,"11,049 Miles",2018
Toyota AYGO x-play Hatchback,"£9,190                            ",Manual,Petrol,"20,771 Miles",2020
Toyota AYGO x-play Hatchback,"£9,195                            ",Manual,Petrol,"32,202 Miles",2021
Toyota AYGO x-trend Hatchback,"£9,195                            ",Manual,Petrol,"27,000 Miles",2019
Toyota AYGO x-play Hatchback,"£9,199                            ",Manual,Petrol,"21,637 Miles",2020
Toyota AYGO x-play Hatchback,"£9,216                            ",Manual,Petrol,"28,900 Miles",2020
Toyota AYGO x-trend Hatchback,"£9,241                            ",Manual,Petrol,"25,849 Miles",2019
Toyota AYGO x-trend Hatchback,"£9,247                            ",Manual,Petrol,"38,740 Miles",2019
Toyota Yaris Icon Hatchback,"£9,250                            ",Manual,Petrol,"49,511 Miles",2018
Toyota AYGO x-clusiv Hatchback,"£9,250                            ",Manual,Petrol,"36,443 Miles",2019
Toyota AYGO x-play Hatchback,"£9,264                            ",Manual,Petrol,"42,145 Miles",2021
Toyota AYGO x-play Hatchback,"£9,279                            ",Manual,Petrol,"25,476 Miles",2021
Toyota AYGO x-press Hatchback,"£9,295                            ",Manual,Petrol,"26,506 Miles",2018
Toyota AYGO x-claim Hatchback,"£9,298                            ",Manual,Petrol,"16,667 Miles",2017
Toyota Yaris Design Hatchback,"£9,299                            ",Manual,Petrol,"61,388 Miles",2017
Toyota AYGO x-trend Hatchback,"£9,300                            ",Manual,Petrol,"15,094 Miles",2019
Toyota AYGO x-play Hatchback,"£9,343                            ",Manual,Petrol,"40,353 Miles",2022
Toyota Yaris Icon Tech Hatchback,"£9,395                            ",Manual,Petrol,"48,543 Miles",2018
Toyota Yaris Icon Tech Hatchback,"£9,395                            ",Manual,Petrol,"65,300 Miles",2019
Toyota AYGO x-clusiv Hatchback,"£9,399                            ",Manual,Petrol,"19,132 Miles",2018
Toyota Yaris Trend Hatchback,"£9,420                            ",Automatic,Petrol,"54,763 Miles",2013
Toyota AYGO x-trend Hatchback,"£9,449                            ",Manual,Petrol,"32,065 Miles",2019
Toyota Yaris Icon Tech Hatchback,"£9,450                            ",Manual,Petrol,"46,827 Miles",2018
Toyota AYGO x-trend Hatchback,"£9,470                            ",Manual,Petrol,"38,100 Miles",2019
Toyota Yaris T Spirit Hatchback,"£9,485                            ",Automatic,Petrol,"31,267 Miles",2012
Toyota Yaris Icon Plus Hatchback,"£9,485                            ",Automatic,Petrol,"64,471 Miles",2014
Toyota AYGO x-trend Hatchback,"£9,485                            ",Manual,Petrol,"29,669 Miles",2020
Toyota Yaris Design Hatchback,"£9,489                            ",Manual,Petrol,"51,700 Miles",2018
Toyota Yaris Icon Hatchback,"£9,495                            ",Automatic,Petrol,"37,888 Miles",2015
Toyota AYGO x-play Hatchback,"£9,495                            ",Manual,Petrol,"11,073 Miles",2020
Toyota AYGO x-trend Hatchback,"£9,495                            ",Manual,Petrol,"43,787 Miles",2022
Toyota Yaris TR Hatchback,"£9,495                            ",Automatic,Petrol,"22,108 Miles",2013
Toyota AYGO x-trend Hatchback,"£9,495                            ",Manual,Petrol,"42,559 Miles",2022
Toyota Yaris Icon Hatchback,"£9,495                            ",Manual,Petrol,"35,602 Miles",2017
Toyota Yaris Icon Plus Hatchback,"£9,495                            ",Automatic,Petrol,"28,330 Miles",2014
Toyota Yaris Icon Hatchback,"£9,495                            ",Manual,Petrol,"55,807 Miles",2019
Toyota AYGO x-cite Hatchback,"£9,495                            ",Manual,Petrol,"35,170 Miles",2019
Toyota Yaris Icon Tech Hatchback,"£9,498                            ",Manual,Petrol,"53,834 Miles",2018
Toyota AYGO x-trend Hatchback,"£9,499                            ",Manual,Petrol,"52,000 Miles",2021
Toyota AYGO x-plore Hatchback,"£9,499                            ",Manual,Petrol,"28,252 Miles",2018
Toyota AYGO x-play Hatchback,"£9,499                            ",Manual,Petrol,"38,649 Miles",2021
Toyota AYGO x-trend Hatchback,"£9,500                            ",Manual,Petrol,"22,956 Miles",2019
Toyota AYGO x-play Hatchback,"£9,552                            ",Manual,Petrol,"29,036 Miles",2020
Toyota Avensis Business Edition Estate,"£9,556                            ",Automatic,Petrol,"74,689 Miles",2016
Toyota AYGO x-play Hatchback,"£9,595                            ",Manual,Petrol,"21,150 Miles",2021
Toyota AYGO x-trend Hatchback,"£9,595                            ",Manual,Petrol,"31,220 Miles",2021
Toyota AYGO x-play Hatchback,"£9,626                            ",Manual,Petrol,"34,189 Miles",2021
Toyota Yaris Excel Hatchback,"£9,645                            ",Automatic,Petrol,"38,826 Miles",2015
Toyota AYGO x-play Hatchback,"£9,650                            ",Manual,Petrol,"25,601 Miles",2021
Toyota Yaris TR Hatchback,"£9,650                            ",Automatic,Petrol,"19,033 Miles",2013
Toyota AYGO x-cite Hatchback,"£9,654                            ",Manual,Petrol,"50,479 Miles",2020
Toyota Yaris Icon Hatchback,"£9,690                            ",Manual,Petrol,"30,000 Miles",2017
Toyota AYGO x-play Hatchback,"£9,695                            ",Manual,Petrol,"17,839 Miles",2021
Toyota AYGO x-trend Hatchback,"£9,695                            ",Manual,Petrol,"18,254 Miles",2019
Toyota AYGO x-plore Hatchback,"£9,720                            ",Manual,Petrol,"26,897 Miles",2018
Toyota AYGO x-cite Hatchback,"£9,734                            ",Manual,Petrol,"17,053 Miles",2018
Toyota AYGO x-trend Hatchback,"£9,790                            ",Manual,Petrol,"33,306 Miles",2021
Toyota AYGO x-trend Hatchback,"£9,795                            ",Manual,Petrol,"27,821 Miles",2020
Toyota AYGO x-trend Hatchback,"£9,801                            ",Manual,Petrol,"28,539 Miles",2021
Toyota AYGO x-play Hatchback,"£9,817                            ",Manual,Petrol,"22,515 Miles",2021
Toyota Auris Excel Hatchback,"£9,822                            ",Automatic,Petrol,"50,812 Miles",2013
Toyota AYGO x-cite Hatchback,"£9,827                            ",Manual,Petrol,"18,139 Miles",2019
Toyota AYGO x-pression Hatchback,"£9,846                            ",Automatic,Petrol,"21,586 Miles",2014
Toyota Yaris Icon Hatchback,"£9,850                            ",Manual,Petrol,"30,446 Miles",2018
Toyota Yaris Icon Hatchback,"£9,866                            ",Manual,Petrol,"48,218 Miles",2018
Toyota AYGO x-trend Hatchback,"£9,884                            ",Manual,Petrol,"30,184 Miles",2021
Toyota AYGO x-play Hatchback,"£9,923                            ",Manual,Petrol,"13,459 Miles",2021
Toyota AYGO x-trend Hatchback,"£9,926                            ",Manual,Petrol,"32,735 Miles",2020
Toyota AYGO x-trend Hatchback,"£9,954                            ",Manual,Petrol,"31,000 Miles",2020
Toyota Yaris Icon Hatchback,"£9,978                            ",Automatic,Petrol,"80,457 Miles",2018
Toyota AYGO x-play Hatchback,"£9,985                            ",Manual,Petrol,"10,833 Miles",2022
Toyota Yaris Excel Hatchback,"£9,985                            ",Automatic,Petrol,"66,168 Miles",2016
Toyota AYGO x-trend Hatchback,"£9,985                            ",Manual,Petrol,"34,517 Miles",2021
Toyota AYGO x-play Hatchback,"£9,990                            ",Automatic,Petrol,"32,470 Miles",2019
Toyota Auris Icon Plus Hatchback,"£9,990                            ",Automatic,Petrol,"41,901 Miles",2015
Toyota AYGO x-play Hatchback,"£9,991                            ",Manual,Petrol,"23,015 Miles",2021
Toyota AYGO x-trend Hatchback,"£9,991                            ",Manual,Petrol,"16,551 Miles",2020
Toyota AYGO x-trend Hatchback,"£9,992                            ",Manual,Petrol,"18,213 Miles",2021
Toyota AYGO x-trend Hatchback,"£9,992                            ",Manual,Petrol,"41,733 Miles",2021
Toyota Auris Icon Tech Hatchback,"£9,995                            ",Manual,Petrol,"64,136 Miles",2018
Toyota Yaris Icon Tech Hatchback,"£9,995                            ",Manual,Petrol,"50,004 Miles",2019
