"Brand","Model","Price_in_Pounds","Transmission","Fuel_Type","Mileage_in_Miles","Release_Year"
"Toyota","Yaris TR Hatchback",5495,"Manual","Petrol",73800,2012
"Toyota","AYGO Fire Hatchback",5720,"Manual","Petrol",28377,2012
"Toyota","AYGO x-cite Hatchback",5755,"Manual","Petrol",65805,2014
"Toyota","AYGO x-press Hatchback",5906,"Manual","Petrol",87000,2018
"Toyota","Auris Icon Hatchback",5985,"Manual","Petrol",94003,2014
"Toyota","AYGO x-play Hatchback",6195,"Manual","Petrol",44073,2015
"Toyota","AYGO x-play Hatchback",6220,"Manual","Petrol",57841,2017
"Toyota","AYGO x-play Hatchback",6295,"Manual","Petrol",39653,2015
"Toyota","AYGO x-clusiv 2 Hatchback",6351,"Manual","Petrol",71268,2016
"Toyota","AYGO x-play Hatchback",6390,"Manual","Petrol",41406,2017
"Toyota","Yaris Icon Hatchback",6485,"Manual","Petrol",102194,2016
"Toyota","Yaris TR Hatchback",6490,"Manual","Petrol",33565,2013
"Toyota","AYGO x-play Hatchback",6695,"Manual","Petrol",50226,2018
"Toyota","Yaris Icon Hatchback",6795,"Manual","Petrol",60676,2015
"Toyota","AYGO x-cite Hatchback",6890,"Manual","Petrol",46269,2015
"Toyota","Yaris Active Hatchback",6895,"Manual","Petrol",20948,2014
"Toyota","AYGO x-play Hatchback",6946,"Manual","Petrol",37514,2016
"Toyota","AYGO x-clusiv3 Hatchback",6995,"Manual","Petrol",71753,2018
"Toyota","Yaris Icon Hatchback",6995,"Manual","Diesel",114232,2017
"Toyota","AYGO x-press Hatchback",6995,"Manual","Petrol",58900,2018
"Toyota","Yaris Icon Hatchback",6999,"Manual","Petrol",72200,2016
"Toyota","AYGO x-press Hatchback",7113,"Manual","Petrol",48006,2017
"Toyota","Yaris Icon Hatchback",7135,"Manual","Petrol",87309,2016
"Toyota","AYGO x-cite Hatchback",7290,"Manual","Petrol",27480,2014
"Toyota","AYGO x-play Hatchback",7299,"Manual","Petrol",53100,2019
"Toyota","Yaris Icon Hatchback",7299,"Manual","Petrol",55663,2015
"Toyota","Yaris Icon Hatchback",7485,"Manual","Petrol",66066,2015
"Toyota","AYGO x-play Hatchback",7485,"Manual","Petrol",37601,2018
"Toyota","AYGO x-pression Hatchback",7495,"Manual","Petrol",33248,2016
"Toyota","AYGO x-style Hatchback",7495,"Manual","Petrol",34410,2017
"Toyota","AYGO Fire Hatchback",7498,"Automatic","Petrol",35100,2013
"Toyota","AYGO x-pression Hatchback",7500,"Manual","Petrol",25000,2015
"Toyota","AYGO x-press Hatchback",7500,"Manual","Petrol",46652,2018
"Toyota","AYGO x-press Hatchback",7500,"Manual","Petrol",43446,2017
"Toyota","AYGO x-style Hatchback",7500,"Manual","Petrol",41705,2018
"Toyota","AYGO x-play Hatchback",7699,"Manual","Petrol",33584,2018
"Toyota","Yaris Icon Hatchback",7703,"Manual","Petrol",50412,2016
"Toyota","Yaris Sport Hatchback",7747,"Manual","Petrol",58781,2016
"Toyota","AYGO x-cite 3 Hatchback",7750,"Manual","Petrol",39257,2016
"Toyota","Yaris Icon Hatchback",7795,"Manual","Petrol",41235,2015
"Toyota","Yaris Design Hatchback",7946,"Manual","Petrol",85895,2017
"Toyota","Yaris Icon Hatchback",7950,"Manual","Petrol",48000,2015
"Toyota","Yaris Icon Plus Hatchback",7961,"Automatic","Petrol",73000,2014
"Toyota","Auris Excel Estate",7985,"Manual","Petrol",87762,2015
"Toyota","AYGO x-play Hatchback",7985,"Manual","Petrol",32780,2019
"Toyota","AYGO x-play Hatchback",7985,"Manual","Petrol",34490,2019
"Toyota","AYGO x-cite 4 Hatchback",7990,"Manual","Petrol",31536,2018
"Toyota","AYGO x-clusiv3 Hatchback",7995,"Manual","Petrol",52232,2017
"Toyota","AYGO x-plore Hatchback",7999,"Manual","Petrol",44423,2019
"Toyota","AYGO x-play Hatchback",8000,"Manual","Petrol",53382,2020
"Toyota","AYGO x Hatchback",8000,"Manual","Petrol",35203,2020
"Toyota","AYGO x-play Hatchback",8000,"Manual","Petrol",37265,2019
"Toyota","Auris Icon Hatchback",8000,"Manual","Petrol",15951,2013
"Toyota","Yaris Icon Hatchback",8000,"Manual","Diesel",82386,2016
"Toyota","Yaris Icon Tech Hatchback",8103,"Manual","Petrol",82119,2017
"Toyota","AYGO x-play Hatchback",8135,"Manual","Petrol",37000,2019
"Toyota","AYGO x-press Hatchback",8190,"Manual","Petrol",28309,2017
"Toyota","Prius T Spirit Hatchback",8200,"Automatic","Petrol",65554,2010
"Toyota","AYGO x-trend Hatchback",8200,"Manual","Petrol",43842,2019
"Toyota","AYGO x-cite Hatchback",8229,"Manual","Petrol",23515,2015
"Toyota","AYGO x-play Hatchback",8245,"Manual","Petrol",34500,2019
"Toyota","AYGO x-style Hatchback",8250,"Manual","Petrol",27049,2018
"Toyota","AYGO x-play Hatchback",8252,"Manual","Petrol",32386,2019
"Toyota","AYGO x-claim Hatchback",8295,"Manual","Petrol",40627,2018
"Toyota","AYGO x-style Hatchback",8298,"Manual","Petrol",30409,2017
"Toyota","AYGO x Hatchback",8395,"Manual","Petrol",19711,2020
"Toyota","AYGO x-trend Hatchback",8395,"Manual","Petrol",52068,2019
"Toyota","AYGO x-pression Hatchback",8395,"Manual","Petrol",26877,2016
"Toyota","AYGO x-plore Hatchback",8398,"Manual","Petrol",34899,2018
"Toyota","AYGO x-cite Hatchback",8398,"Manual","Petrol",29523,2016
"Toyota","AYGO x-plore Hatchback",8417,"Manual","Petrol",31079,2018
"Toyota","AYGO x-plore Hatchback",8450,"Manual","Petrol",41251,2018
"Toyota","Auris Icon Estate",8485,"Automatic","Petrol",54856,2014
"Toyota","Yaris Icon Hatchback",8485,"Automatic","Petrol",60924,2014
"Toyota","AYGO x-clusiv Hatchback",8495,"Manual","Petrol",55805,2018
"Toyota","AYGO x-plore Hatchback",8499,"Manual","Petrol",28165,2018
"Toyota","Yaris Icon Hatchback",8537,"Manual","Petrol",61573,2017
"Toyota","Yaris Icon Hatchback",8590,"Manual","Petrol",52601,2017
"Toyota","AYGO x-press Hatchback",8595,"Manual","Petrol",37004,2018
"Toyota","Yaris Icon Hatchback",8599,"Manual","Petrol",24767,2015
"Toyota","AYGO x-plore Hatchback",8605,"Manual","Petrol",23111,2018
"Toyota","AYGO x-press Hatchback",8690,"Manual","Petrol",22412,2018
"Toyota","AYGO x-play Hatchback",8698,"Manual","Petrol",23159,2020
"Toyota","AYGO x-plore Hatchback",8791,"Manual","Petrol",24909,2019
"Toyota","Yaris TR Hatchback",8795,"Automatic","Petrol",31657,2012
"Toyota","AYGO x-play Hatchback",8795,"Manual","Petrol",42692,2021
"Toyota","Yaris Icon Hatchback",8795,"Manual","Petrol",33787,2015
"Toyota","AYGO x-trend Hatchback",8825,"Manual","Petrol",41895,2020
"Toyota","AYGO x-press Hatchback",8826,"Manual","Petrol",22000,2018
"Toyota","AYGO x-play Hatchback",8850,"Manual","Petrol",29797,2020
"Toyota","Yaris Icon Tech Hatchback",8873,"Manual","Petrol",69896,2018
"Toyota","AYGO x-play Hatchback",8878,"Manual","Petrol",24049,2020
"Toyota","Yaris Icon Hatchback",8879,"Manual","Petrol",60457,2019
"Toyota","Yaris Design Hatchback",8895,"Manual","Petrol",39892,2017
"Toyota","Yaris Design Hatchback",8925,"Manual","Petrol",76596,2018
"Toyota","Yaris T4 Hatchback",8942,"Automatic","Petrol",47286,2013
"Toyota","AYGO x-trend Hatchback",8984,"Manual","Petrol",30206,2019
"Toyota","Yaris Icon Tech Hatchback",8985,"Manual","Petrol",63056,2017
"Toyota","AYGO x-style Hatchback",8985,"Manual","Petrol",31090,2018
"Toyota","Yaris Icon Hatchback",8990,"Manual","Petrol",57098,2018
"Toyota","AYGO x-trend Hatchback",8990,"Manual","Petrol",33727,2019
"Toyota","AYGO x-play Hatchback",8995,"Manual","Petrol",32211,2021
"Toyota","AYGO x-play Hatchback",8995,"Manual","Petrol",31508,2021
"Toyota","RAV4 Icon SUV",8995,"Automatic","Diesel",86762,2014
"Toyota","Yaris Excel Hatchback",8995,"Automatic","Petrol",67651,2015
"Toyota","Yaris T4 Hatchback",8995,"Automatic","Petrol",55581,2013
"Toyota","Yaris T Spirit Hatchback",8995,"Automatic","Petrol",42765,2013
"Toyota","AYGO x-press Hatchback",8995,"Manual","Petrol",23921,2017
"Toyota","Yaris Excel Hatchback",8995,"Automatic","Petrol",92000,2017
"Toyota","AYGO x-trend Hatchback",8995,"Manual","Petrol",28450,2019
"Toyota","AYGO x-cite Hatchback",8999,"Manual","Petrol",61635,2019
"Toyota","AYGO x-trend Hatchback",9090,"Manual","Petrol",38416,2019
"Toyota","AYGO x-press Hatchback",9100,"Manual","Petrol",11049,2018
"Toyota","AYGO x-play Hatchback",9190,"Manual","Petrol",20771,2020
"Toyota","AYGO x-play Hatchback",9195,"Manual","Petrol",32202,2021
"Toyota","AYGO x-trend Hatchback",9195,"Manual","Petrol",27000,2019
"Toyota","AYGO x-play Hatchback",9199,"Manual","Petrol",21637,2020
"Toyota","AYGO x-play Hatchback",9216,"Manual","Petrol",28900,2020
"Toyota","AYGO x-trend Hatchback",9241,"Manual","Petrol",25849,2019
"Toyota","AYGO x-trend Hatchback",9247,"Manual","Petrol",38740,2019
"Toyota","Yaris Icon Hatchback",9250,"Manual","Petrol",49511,2018
"Toyota","AYGO x-clusiv Hatchback",9250,"Manual","Petrol",36443,2019
"Toyota","AYGO x-play Hatchback",9264,"Manual","Petrol",42145,2021
"Toyota","AYGO x-play Hatchback",9279,"Manual","Petrol",25476,2021
"Toyota","AYGO x-press Hatchback",9295,"Manual","Petrol",26506,2018
"Toyota","AYGO x-claim Hatchback",9298,"Manual","Petrol",16667,2017
"Toyota","Yaris Design Hatchback",9299,"Manual","Petrol",61388,2017
"Toyota","AYGO x-trend Hatchback",9300,"Manual","Petrol",15094,2019
"Toyota","AYGO x-play Hatchback",9343,"Manual","Petrol",40353,2022
"Toyota","Yaris Icon Tech Hatchback",9395,"Manual","Petrol",48543,2018
"Toyota","Yaris Icon Tech Hatchback",9395,"Manual","Petrol",65300,2019
"Toyota","AYGO x-clusiv Hatchback",9399,"Manual","Petrol",19132,2018
"Toyota","Yaris Trend Hatchback",9420,"Automatic","Petrol",54763,2013
"Toyota","AYGO x-trend Hatchback",9449,"Manual","Petrol",32065,2019
"Toyota","Yaris Icon Tech Hatchback",9450,"Manual","Petrol",46827,2018
"Toyota","AYGO x-trend Hatchback",9470,"Manual","Petrol",38100,2019
"Toyota","Yaris T Spirit Hatchback",9485,"Automatic","Petrol",31267,2012
"Toyota","Yaris Icon Plus Hatchback",9485,"Automatic","Petrol",64471,2014
"Toyota","AYGO x-trend Hatchback",9485,"Manual","Petrol",29669,2020
"Toyota","Yaris Design Hatchback",9489,"Manual","Petrol",51700,2018
"Toyota","Yaris Icon Hatchback",9495,"Automatic","Petrol",37888,2015
"Toyota","AYGO x-play Hatchback",9495,"Manual","Petrol",11073,2020
"Toyota","AYGO x-trend Hatchback",9495,"Manual","Petrol",43787,2022
"Toyota","Yaris TR Hatchback",9495,"Automatic","Petrol",22108,2013
"Toyota","AYGO x-trend Hatchback",9495,"Manual","Petrol",42559,2022
"Toyota","Yaris Icon Hatchback",9495,"Manual","Petrol",35602,2017
"Toyota","Yaris Icon Plus Hatchback",9495,"Automatic","Petrol",28330,2014
"Toyota","Yaris Icon Hatchback",9495,"Manual","Petrol",55807,2019
"Toyota","AYGO x-cite Hatchback",9495,"Manual","Petrol",35170,2019
"Toyota","Yaris Icon Tech Hatchback",9498,"Manual","Petrol",53834,2018
"Toyota","AYGO x-trend Hatchback",9499,"Manual","Petrol",52000,2021
"Toyota","AYGO x-plore Hatchback",9499,"Manual","Petrol",28252,2018
"Toyota","AYGO x-play Hatchback",9499,"Manual","Petrol",38649,2021
"Toyota","AYGO x-trend Hatchback",9500,"Manual","Petrol",22956,2019
"Toyota","AYGO x-play Hatchback",9552,"Manual","Petrol",29036,2020
"Toyota","Avensis Business Edition Estate",9556,"Automatic","Petrol",74689,2016
"Toyota","AYGO x-play Hatchback",9595,"Manual","Petrol",21150,2021
"Toyota","AYGO x-trend Hatchback",9595,"Manual","Petrol",31220,2021
"Toyota","AYGO x-play Hatchback",9626,"Manual","Petrol",34189,2021
"Toyota","Yaris Excel Hatchback",9645,"Automatic","Petrol",38826,2015
"Toyota","AYGO x-play Hatchback",9650,"Manual","Petrol",25601,2021
"Toyota","Yaris TR Hatchback",9650,"Automatic","Petrol",19033,2013
"Toyota","AYGO x-cite Hatchback",9654,"Manual","Petrol",50479,2020
"Toyota","Yaris Icon Hatchback",9690,"Manual","Petrol",30000,2017
"Toyota","AYGO x-play Hatchback",9695,"Manual","Petrol",17839,2021
"Toyota","AYGO x-trend Hatchback",9695,"Manual","Petrol",18254,2019
"Toyota","AYGO x-plore Hatchback",9720,"Manual","Petrol",26897,2018
"Toyota","AYGO x-cite Hatchback",9734,"Manual","Petrol",17053,2018
"Toyota","AYGO x-trend Hatchback",9790,"Manual","Petrol",33306,2021
"Toyota","AYGO x-trend Hatchback",9795,"Manual","Petrol",27821,2020
"Toyota","AYGO x-trend Hatchback",9801,"Manual","Petrol",28539,2021
"Toyota","AYGO x-play Hatchback",9817,"Manual","Petrol",22515,2021
"Toyota","Auris Excel Hatchback",9822,"Automatic","Petrol",50812,2013
"Toyota","AYGO x-cite Hatchback",9827,"Manual","Petrol",18139,2019
"Toyota","AYGO x-pression Hatchback",9846,"Automatic","Petrol",21586,2014
"Toyota","Yaris Icon Hatchback",9850,"Manual","Petrol",30446,2018
"Toyota","Yaris Icon Hatchback",9866,"Manual","Petrol",48218,2018
"Toyota","AYGO x-trend Hatchback",9884,"Manual","Petrol",30184,2021
"Toyota","AYGO x-play Hatchback",9923,"Manual","Petrol",13459,2021
"Toyota","AYGO x-trend Hatchback",9926,"Manual","Petrol",32735,2020
"Toyota","AYGO x-trend Hatchback",9954,"Manual","Petrol",31000,2020
"Toyota","Yaris Icon Hatchback",9978,"Automatic","Petrol",80457,2018
"Toyota","AYGO x-play Hatchback",9985,"Manual","Petrol",10833,2022
"Toyota","Yaris Excel Hatchback",9985,"Automatic","Petrol",66168,2016
"Toyota","AYGO x-trend Hatchback",9985,"Manual","Petrol",34517,2021
"Toyota","AYGO x-play Hatchback",9990,"Automatic","Petrol",32470,2019
"Toyota","Auris Icon Plus Hatchback",9990,"Automatic","Petrol",41901,2015
"Toyota","AYGO x-play Hatchback",9991,"Manual","Petrol",23015,2021
"Toyota","AYGO x-trend Hatchback",9991,"Manual","Petrol",16551,2020
"Toyota","AYGO x-trend Hatchback",9992,"Manual","Petrol",18213,2021
"Toyota","AYGO x-trend Hatchback",9992,"Manual","Petrol",41733,2021
"Toyota","Auris Icon Tech Hatchback",9995,"Manual","Petrol",64136,2018
"Toyota","Yaris Icon Tech Hatchback",9995,"Manual","Petrol",50004,2019
"Toyota","Yaris Design Hatchback",9995,"Manual","Petrol",28097,2017
"Toyota","Auris Excel Hatchback",9995,"Automatic","Petrol",76449,2015
"Toyota","Yaris Icon Hatchback",9995,"Manual","Diesel",34347,2016
"Toyota","AYGO x-play Hatchback",9995,"Manual","Petrol",11000,2021
"Toyota","Yaris Icon Tech Hatchback",9995,"Manual","Petrol",42810,2018
"Toyota","Yaris Icon Tech Hatchback",9995,"Manual","Petrol",37236,2019
"Toyota","AYGO x-trend Hatchback",9995,"Manual","Petrol",17673,2020
"Toyota","Yaris Excel Hatchback",9995,"Manual","Petrol",43494,2017
"Toyota","Auris Business Edition Hatchback",9995,"Manual","Petrol",42848,2016
"Toyota","AYGO x-play Hatchback",9995,"Manual","Petrol",24698,2021
"Toyota","AYGO x-clusiv Hatchback",9995,"Manual","Petrol",43811,2019
"Toyota","AYGO x-trend Hatchback",9995,"Manual","Petrol",31000,2019
"Toyota","Yaris Icon Hatchback",9995,"Manual","Petrol",53793,2019
"Toyota","AYGO x-trend Hatchback",9996,"Manual","Petrol",13144,2019
"Toyota","AYGO x-trend Hatchback",9998,"Manual","Petrol",22788,2019
"Toyota","AYGO x-trend Hatchback",9998,"Manual","Petrol",38839,2021
"Toyota","AYGO x-trend Hatchback",9998,"Manual","Petrol",32772,2021
"Toyota","AYGO x-trend Hatchback",9999,"Manual","Petrol",24644,2020
"Toyota","AYGO x-trend Hatchback",9999,"Manual","Petrol",15332,2019
"Toyota","AYGO x-trend Hatchback",9999,"Manual","Petrol",20909,2021
"Toyota","AYGO x-trend Hatchback",10006,"Manual","Petrol",38351,2020
"Toyota","AYGO x-trend Hatchback",10041,"Manual","Petrol",23200,2020
"Toyota","AYGO x-trend Hatchback",10049,"Manual","Petrol",24634,2020
"Toyota","AYGO x-clusiv Hatchback",10109,"Manual","Petrol",30552,2019
"Toyota","AYGO x-trend Hatchback",10112,"Manual","Petrol",33744,2022
"Toyota","AYGO x-trend Hatchback",10115,"Manual","Petrol",44763,2021
"Toyota","AYGO x-trend Hatchback",10129,"Manual","Petrol",34703,2022
"Toyota","AYGO x-cite Hatchback",10150,"Manual","Petrol",23999,2019
"Toyota","Yaris Icon Tech Hatchback",10167,"Manual","Petrol",48159,2019
"Toyota","Yaris Icon Tech Hatchback",10195,"Automatic","Petrol",64054,2018
"Toyota","Yaris Icon Hatchback",10195,"Manual","Petrol",40707,2019
"Toyota","AYGO x-clusiv Hatchback",10200,"Manual","Petrol",24829,2018
"Toyota","AYGO x-trend Hatchback",10200,"Manual","Petrol",18257,2021
"Toyota","Yaris Excel Hatchback",10229,"Automatic","Petrol",47068,2015
"Toyota","AYGO x-play Hatchback",10232,"Manual","Petrol",19568,2022
"Toyota","Yaris Icon Tech Hatchback",10233,"Manual","Petrol",30423,2017
"Toyota","Auris Icon Hatchback",10250,"Automatic","Petrol",27797,2015
"Toyota","AYGO x-trend Hatchback",10250,"Manual","Petrol",26154,2021
"Toyota","Yaris Hatchback",10250,"Automatic","Petrol",70141,2017
"Toyota","AYGO x-play Hatchback",10265,"Manual","Petrol",16443,2021
"Toyota","Yaris Icon Hatchback",10285,"Manual","Petrol",21039,2019
"Toyota","Yaris Icon Hatchback",10290,"Manual","Petrol",45732,2019
"Toyota","AYGO x-trend Hatchback",10290,"Manual","Petrol",31566,2021
"Toyota","AYGO JBL Edition Hatchback",10291,"Manual","Petrol",30946,2020
"Toyota","AYGO x-trend Hatchback",10295,"Manual","Petrol",12488,2020
"Toyota","AYGO x-press Hatchback",10295,"Automatic","Petrol",26246,2018
"Toyota","C-HR Icon SUV",10295,"Manual","Petrol",67372,2017
"Toyota","AYGO x-trend Hatchback",10295,"Manual","Petrol",22053,2021
"Toyota","AYGO x-trend Hatchback",10295,"Manual","Petrol",51792,2021
"Toyota","AYGO x-play Hatchback",10320,"Manual","Petrol",6128,2021
"Toyota","Auris Excel Hatchback",10345,"Automatic","Petrol",46124,2014
"Toyota","Yaris Icon Tech Hatchback",10378,"Manual","Petrol",40159,2019
"Toyota","AYGO x-play Hatchback",10390,"Manual","Petrol",6567,2021
"Toyota","AYGO x-trend Hatchback",10395,"Manual","Petrol",28977,2021
"Toyota","AYGO x-cite Hatchback",10395,"Manual","Petrol",20277,2019
"Toyota","AYGO x-trend Hatchback",10401,"Manual","Petrol",19582,2021
"Toyota","AYGO x-trend Hatchback",10407,"Manual","Petrol",32167,2021
"Toyota","AYGO JBL Edition Hatchback",10412,"Manual","Petrol",23992,2020
"Toyota","AYGO x-cite Hatchback",10417,"Manual","Petrol",29480,2019
